Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
130426 Uarini;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
130430 Urucará;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
130440 Urucurituba;2.0;4.0;0.0;2.0;0.0;0.0;0.0;8.0
140005 Alto Alegre;2.0;6.0;0.0;1.0;0.0;0.0;0.0;9.0
140002 Amajari;1.0;7.0;0.0;0.0;0.0;0.0;0.0;8.0
140010 Boa Vista;0.0;43.0;0.0;6.0;2.0;0.0;0.0;51.0
140015 Bonfim;1.0;12.0;0.0;1.0;0.0;0.0;0.0;14.0
140017 Cantá;10.0;4.0;0.0;0.0;0.0;0.0;0.0;14.0
140020 Caracaraí;3.0;9.0;0.0;0.0;0.0;0.0;0.0;12.0
140023 Caroebe;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
140028 Iracema;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
140030 Mucajaí;5.0;6.0;0.0;1.0;0.0;0.0;0.0;12.0
140040 Normandia;3.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0
140045 Pacaraima;11.0;1.0;0.0;1.0;0.0;0.0;0.0;13.0
140047 Rorainópolis;0.0;11.0;0.0;1.0;0.0;0.0;0.0;12.0
140050 São João da Baliza;1.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
140060 São Luiz;2.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0
140070 Uiramutã;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
150010 Abaetetuba;26.0;26.0;4.0;3.0;0.0;0.0;0.0;59.0
150013 Abel Figueiredo;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
150020 Acará;10.0;10.0;0.0;1.0;0.0;0.0;0.0;21.0
150030 Afuá;27.0;4.0;0.0;0.0;0.0;0.0;0.0;31.0
150034 Água Azul do Norte;3.0;7.0;0.0;1.0;0.0;0.0;0.0;11.0
150040 Alenquer;6.0;2.0;0.0;1.0;0.0;0.0;0.0;9.0
150050 Almeirim;7.0;7.0;0.0;2.0;0.0;0.0;0.0;16.0
150060 Altamira;18.0;24.0;0.0;5.0;0.0;0.0;0.0;47.0
150070 Anajás;10.0;1.0;0.0;1.0;0.0;0.0;0.0;12.0
150080 Ananindeua;4.0;64.0;8.0;6.0;2.0;2.0;1.0;87.0
150085 Anapu;5.0;6.0;0.0;1.0;0.0;0.0;0.0;12.0
150090 Augusto Corrêa;22.0;1.0;0.0;1.0;0.0;0.0;0.0;24.0
150095 Aurora do Pará;2.0;9.0;0.0;1.0;0.0;0.0;0.0;12.0
150100 Aveiro;4.0;4.0;0.0;0.0;0.0;0.0;0.0;8.0
150110 Bagre;6.0;6.0;0.0;1.0;0.0;0.0;0.0;13.0
150120 Baião;6.0;8.0;0.0;1.0;0.0;0.0;0.0;15.0
150125 Bannach;4.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0
150130 Barcarena;4.0;29.0;9.0;3.0;1.0;0.0;0.0;46.0
150140 Belém;10.0;90.0;59.0;24.0;15.0;1.0;0.0;199.0
150145 Belterra;2.0;10.0;0.0;1.0;0.0;0.0;0.0;13.0
150150 Benevides;0.0;17.0;1.0;0.0;0.0;0.0;0.0;18.0
150157 Bom Jesus do Tocantins;1.0;5.0;0.0;1.0;0.0;0.0;0.0;7.0
150160 Bonito;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
150170 Bragança;4.0;33.0;0.0;3.0;0.0;0.0;0.0;40.0
150172 Brasil Novo;3.0;7.0;0.0;1.0;0.0;0.0;0.0;11.0
150175 Brejo Grande do Araguaia;5.0;4.0;0.0;1.0;0.0;0.0;0.0;10.0
150178 Breu Branco;10.0;11.0;1.0;1.0;0.0;0.0;0.0;23.0
150180 Breves;23.0;16.0;0.0;3.0;0.0;0.0;0.0;42.0
150190 Bujaru;1.0;11.0;0.0;1.0;0.0;0.0;0.0;13.0
150200 Cachoeira do Arari;9.0;5.0;0.0;0.0;0.0;0.0;0.0;14.0
150195 Cachoeira do Piriá;3.0;13.0;0.0;0.0;0.0;0.0;0.0;16.0
150210 Cametá;2.0;25.0;3.0;2.0;1.0;0.0;0.0;33.0
150215 Canaã dos Carajás;1.0;11.0;3.0;2.0;0.0;0.0;0.0;17.0
150220 Capanema;1.0;23.0;1.0;3.0;0.0;0.0;0.0;28.0
150230 Capitão Poço;6.0;15.0;0.0;2.0;0.0;0.0;0.0;23.0
150240 Castanhal;14.0;42.0;8.0;4.0;1.0;0.0;0.0;69.0
150250 Chaves;15.0;5.0;0.0;1.0;0.0;0.0;0.0;21.0
150260 Colares;5.0;6.0;0.0;0.0;0.0;0.0;0.0;11.0
150270 Conceição do Araguaia;4.0;12.0;1.0;2.0;0.0;0.0;0.0;19.0
150275 Concórdia do Pará;7.0;2.0;0.0;1.0;0.0;0.0;0.0;10.0
